subject,file,link,lineno,NOC,NOFF,NOO,experience-based,statistics-based,tuning machine,smell
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L975,975,35,1,4,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L976,976,47,1,9,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L977,977,61,2,10,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L980,980,124,2,23,1,0,1,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L1058,1058,34,1,7,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L1150,1150,39,1,8,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L1431,1431,44,1,6,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L1432,1432,29,1,4,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L1437,1437,42,2,5,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L1461,1461,46,1,6,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L1474,1474,37,1,5,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/realface.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/realface.py#L59,59,66,2,18,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/realface.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/realface.py#L60,60,42,1,8,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/realface.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/realface.py#L62,62,60,2,13,0,0,0,False
